Web,Tipo,Periodo,Pageviews
Mujer Pandora,Total,201705,8354705
Mujer Pandora,Total,201706,6632182
Mujer Pandora,Total,201707,6151663
Mujer Pandora,Total,201708,8032193
Mujer Pandora,Total,201709,8149989
Mujer Pandora,Total,201710,6855061
Mujer Pandora,Total,201711,3013233
Mujer Pandora,Total,201712,3629257
Mujer Pandora,Peru,201701,6132251
Mujer Pandora,Peru,201702,5610841
Mujer Pandora,Peru,201703,6756219
Mujer Pandora,Peru,201704,5994964
Mujer Pandora,Peru,201705,7414154
Mujer Pandora,Peru,201706,5734891
Mujer Pandora,Peru,201707,4782309
Mujer Pandora,Peru,201708,5954171
Mujer Pandora,Peru,201709,6808519
Mujer Pandora,Peru,201710,5830021
Mujer Pandora,Peru,201711,2388459
Mujer Pandora,Peru,201712,3015166
Mujer Pandora,Estados Unidos,201701,131467
Mujer Pandora,Estados Unidos,201702,108441
Mujer Pandora,Estados Unidos,201703,202532
Mujer Pandora,Estados Unidos,201704,154853
Mujer Pandora,Estados Unidos,201705,201416
Mujer Pandora,Estados Unidos,201706,186769
Mujer Pandora,Estados Unidos,201707,408736
Mujer Pandora,Estados Unidos,201708,671157
Mujer Pandora,Estados Unidos,201709,311178
Mujer Pandora,Estados Unidos,201710,285733
Mujer Pandora,Estados Unidos,201711,153170
Mujer Pandora,Estados Unidos,201712,145490
Mujer Pandora,Extranjero,201701,455192
Mujer Pandora,Extranjero,201702,343743
Mujer Pandora,Extranjero,201703,615929
Mujer Pandora,Extranjero,201704,516291
Mujer Pandora,Extranjero,201705,739135
Mujer Pandora,Extranjero,201706,710522
Mujer Pandora,Extranjero,201707,960618
Mujer Pandora,Extranjero,201708,1406865
Mujer Pandora,Extranjero,201709,1030292
Mujer Pandora,Extranjero,201710,739307
Mujer Pandora,Extranjero,201711,471604
Mujer Pandora,Extranjero,201712,468601
